,0,1,2,3,4,5
374,,16.0,15.0,35.0,22.0,99.0
375,,16.0,15.0,37.0,21.0,100.0
376,,17.0,15.0,38.0,21.0,99.0
377,,14.0,15.0,35.0,22.0,99.0
378,,15.0,15.0,38.0,22.0,100.0
379,,16.0,17.0,33.0,20.0,100.0
380,,16.0,18.0,34.0,21.0,100.0
381,,18.0,14.0,38.0,21.0,100.0
382,,16.0,16.0,35.0,19.0,100.0
383,,16.0,15.0,34.0,21.0,100.0
384,,15.0,17.0,33.0,20.0,100.0
385,,16.0,17.0,33.0,22.0,99.0
386,,17.0,16.0,32.0,25.0,100.0
387,,16.0,15.0,33.0,23.0,100.0
388,,16.0,16.0,33.0,20.0,99.0
389,,18.0,14.0,33.0,23.0,100.0
390,,17.0,15.0,38.0,18.0,99.0
391,,18.0,14.0,36.0,24.0,100.0
392,,17.0,14.0,33.0,20.0,99.0
393,,17.0,14.0,36.0,19.0,100.0
394,,16.0,14.0,38.0,19.0,100.0
395,,16.0,15.0,35.0,20.0,100.0
396,,17.0,15.0,34.0,18.0,100.0
397,,17.0,15.0,36.0,22.0,99.0
398,,15.0,17.0,32.0,21.0,99.0
399,,16.0,15.0,33.0,20.0,99.0
400,,14.0,16.0,38.0,21.0,100.0
401,,15.0,17.0,35.0,19.0,100.0
402,,15.0,16.0,37.0,24.0,100.0
403,,15.0,16.0,33.0,23.0,99.0
404,,17.0,17.0,38.0,19.0,99.0
405,,15.0,17.0,33.0,20.0,99.0
406,,17.0,15.0,36.0,21.0,99.0
407,,16.0,17.0,38.0,22.0,100.0
408,,16.0,18.0,34.0,21.0,100.0
409,,16.0,16.0,30.0,19.0,100.0
410,,16.0,17.0,31.0,18.0,100.0
411,,16.0,19.0,33.0,23.0,100.0
412,,18.0,19.0,34.0,20.0,99.0
413,,15.0,18.0,37.0,22.0,100.0
414,,17.0,17.0,37.0,20.0,100.0
415,,16.0,18.0,37.0,18.0,100.0
416,,15.0,18.0,39.0,17.0,99.0
417,,18.0,18.0,37.0,22.0,100.0
418,,20.0,17.0,37.0,18.0,100.0
419,,16.0,18.0,31.0,19.0,100.0
420,,17.0,15.0,38.0,19.0,100.0
421,,16.0,16.0,36.0,20.0,100.0
422,,19.0,17.0,36.0,19.0,99.0
423,,16.0,17.0,36.0,19.0,100.0
424,,17.0,16.0,35.0,18.0,99.0
425,,15.0,16.0,38.0,18.0,100.0
426,,15.0,16.0,33.0,19.0,100.0
427,,15.0,16.0,37.0,17.0,100.0
428,,15.0,16.0,35.0,18.0,100.0
429,,15.0,16.0,31.0,20.0,100.0
430,,15.0,16.0,33.0,24.0,100.0
431,,14.0,17.0,34.0,19.0,99.0
432,,16.0,16.0,36.0,22.0,100.0
433,,16.0,15.0,34.0,17.0,100.0
434,,16.0,16.0,36.0,16.0,100.0
435,,16.0,16.0,33.0,20.0,99.0
436,,16.0,15.0,35.0,18.0,99.0
437,,16.0,14.0,39.0,21.0,100.0
438,,16.0,16.0,35.0,19.0,100.0
439,,15.0,15.0,33.0,20.0,100.0
440,,18.0,15.0,35.0,17.0,100.0
441,,17.0,14.0,34.0,19.0,100.0
